Time,Progress_mean,Progress_std
0,1.538,0.0
10,2.504,0.42
20,3.47,0.841
30,4.436,1.261
40,5.402,1.682
50,6.368,2.102
60,7.78,2.529
70,9.192,3.121
80,10.604,3.8
90,12.017,4.528
100,13.429,5.285
110,14.841,6.059
120,16.658,6.164
130,18.476,6.294
140,20.293,6.448
150,22.111,6.623
160,23.928,6.818
170,25.745,7.032
180,27.563,7.262
190,29.46,7.397
200,31.357,7.553
210,33.255,7.729
220,35.152,7.925
230,37.05,8.138
240,38.947,8.368
250,40.844,8.613
260,42.742,8.872
270,43.959,9.83
280,45.176,10.821
290,46.393,11.837
300,47.611,12.872
310,48.828,13.923
320,50.045,14.985
330,51.263,16.056
340,52.48,17.135
350,53.697,18.22
360,54.914,19.311
370,56.132,20.405
380,57.349,21.504
390,57.828,21.464
400,58.3,21.446
410,58.772,21.459
420,59.245,21.503
430,59.717,21.578
440,60.189,21.683
450,60.662,21.819
460,61.134,21.985
470,61.606,22.179
480,62.079,22.401
490,62.551,22.651
500,63.023,22.928
510,63.495,23.23
520,63.968,23.556
530,64.44,23.906
